name,author,narrator,duration_minutes,release_date,language,star_rating,num_ratings,price_inr
The Endermen Invasion,Winter Morgan,LukeDaniels,122,2015-05-26,English,5.0,5.0,233.0
Captain Underpants and the Revolting Revenge of the Radioactive Robo-Boxers,Dav Pilkey,"LenForgione,AshtonSundholm,JadenRogers",130,2021-11-02,English,,,445.0
You Only Die Twice,Dan Gutman,MichaelGoldstrom,349,2013-09-17,English,5.0,5.0,585.0
From Texas with Love,Dan Gutman,MichaelGoldstrom,327,2014-01-28,English,5.0,6.0,702.0
Across the Desert,Dusti Bowling,StacyGonzalez,373,2022-03-29,English,,,703.0
Unicorn Academy: Aisha and Silver,Julie Sykes,KristinAtherton,94,2022-03-10,English,,,266.0
Laura Blackman and The Five Cunning Aardvarks,Stella Robson,DerekSteel,13,2021-12-15,English,,,117.0
The Dragonet Prophecy,Tui T.Sutherland,ShannonMcManus,512,2012-07-01,English,5.0,11.0,820.0
Dangerous Gift,Tui T.Sutherland,ShannonMcManus,471,2021-03-02,English,5.0,9.0,445.0
"The 39 Clues, Book 6",Jude Watson,DavidPittu,310,2009-11-06,English,5.0,4.0,468.0
Never Say Genius,Dan Gutman,MichaelGoldstrom,327,2013-08-23,English,5.0,8.0,585.0
The Madman of Black Bear Mountain,Franklin W.Dixon,TimGregory,174,2016-06-07,English,5.0,3.0,305.0
Unicorn Academy: Zara and Moonbeam,Julie Sykes,KristinAtherton,95,2022-03-10,English,,,266.0
El fantasma de la bodega,Francisco Díaz Valladares,NuriaSamsó,143,2022-04-04,Spanish,,,192.0
El paseo encantado,Mattel,VanessaPérezJurado,33,2022-04-01,Spanish,,,76.0
Wigetta,"Vegetta777,Willyrex",ÁlexdePorrata,217,2022-04-05,Spanish,,,192.0
Aru Shah and the Nectar of Immortality,Roshani Chokshi,SoneelaNankani,679,2022-04-05,English,,,821.0
Barnabas der Wolkenschaufler,"Sophie Schoenwald,Nadine Reitz-Illustrator",BerndReheuser,176,2022-04-04,German,,,200.0
The Boy in the Post,Holly Rivers,SusieTrayling,418,2022-04-01,English,,,706.0
Thornwood,Leah Cypess,JessicaAlmasy,341,2022-04-05,English,,,904.0
7 histoires d'aventures !,"Bertrand Fichou,Nora Thullin,Catherinede Lasa,","GuyChappelier,FrédéricSanchez,MarieZidi,",43,2022-02-11,French,,,679.0
Le Loup qui devenait chef de la forêt,Orianne Lallemand,WillProduction,9,2022-04-01,French,,,112.0
Curse of the Robo-Dragon,Adam Blade,TheoSolomon,126,2022-04-01,English,,,531.0
Call of the Crow,Jessica Khoury,"MichaelGallagher,EmilyEiden",570,2022-04-05,English,,,586.0
Glass Slippers,Leah Cypess,KeylorLeigh,338,2022-04-05,English,,,904.0
Captain Underpants and the Sensational Saga of Sir Stinks-a-Lot,Dav Pilkey,"LenForgione,WinstonBromhead,I'keMitchell",97,2022-04-05,English,,,586.0
Tiger Honor,Yoon Ha Lee,ElissaPark,456,2022-01-04,English,,,586.0
The Amulet of Samarkand,Jonathan Stroud,StevenPacey,570,2007-02-01,English,5.0,17.0,683.0
Rowley Jefferson's Awesome Friendly Spooky Stories,Jeff Kinney,ChristopherGebauer,89,2021-03-16,English,3.5,7.0,410.0
Lost in the End,Winter Morgan,SummerMcCusker,103,2016-04-06,English,5.0,5.0,233.0
Trouble Island,Franklin W.Dixon,TimGregory,264,2021-06-01,English,5.0,2.0,305.0
Terrors of the Forest,Mark Cheverton,NickWalther,492,2022-01-25,English,,,703.0
Riverboat Roulette,Carolyn Keene,JorjeanaMarie,166,2017-03-20,English,5.0,4.0,305.0
The Book of Chaos,Jessica Renwick,RebaBuhr,330,2022-03-15,English,,,1172.0
"Fortunately, the Milk...",Neil Gaiman,NeilGaiman,58,2021-11-22,English,,,683.0
Discoveries in the Overworld,Winter Morgan,SummerMcCusker,109,2016-04-06,English,5.0,4.0,233.0
The Last Human,Lee Bacon,PaulPanting,402,2019-10-03,English,5.0,7.0,949.0
Welcome to Smellville,R.L.Stine,"JordanFisher,DaschaPolanco,JonieceAbbott-Pratt,",198,2020-09-29,English,,,585.0
An Explorer's Guide to the Nether,Winter Morgan,SummerMcCusker,110,2016-03-30,English,5.0,4.0,233.0
The Midnight Gang,David Walliams,"DavidWalliams,PeterSerafinowicz,MorwennaBanks,",369,2016-11-15,English,4.5,3.0,322.0
As the Falcon Flies,Franklin W.Dixon,AdamVerner,188,2022-01-04,English,,,305.0
The Squad of Lucky Landing: An Unofficial Fortnite Adventure Novel,Devin Hunter,RamonDeOcampo,131,2018-10-30,English,5.0,2.0,585.0
Pahua and the Soul Stealer,Lori M.Lee,SamanthaTan,672,2021-09-07,English,,,702.0
El monstruo marino secreto,Mattel,VanessaPérezJurado,30,2022-04-01,Spanish,,,76.0
Sabotage on the Solar Express,"M.G.Leonard,Sam Sedgman","ElisaPaganelli,JotDavies",335,2022-02-17,English,,,323.0
A Boy Called Christmas,Matt Haig,StephenFry,272,2016-11-03,English,4.5,21.0,569.0
"The 39 Clues, Book 4",Jude Watson,DavidPittu,277,2009-06-23,English,5.0,6.0,468.0
"The 39 Clues, Book 3",Peter Lerangis,DavidPittu,231,2009-03-03,English,5.0,9.0,468.0
The Disappearance,Franklin W.Dixon,TimGregory,230,2019-05-14,English,,,305.0
Once Upon a Crime,Robin Stevens,"KatieLeung,RebeccaLee,AlexanderCapon,",410,2021-08-05,English,,,615.0
Billionaire Boy,David Walliams,"DavidWalliams,NitinGanatra",188,2011-06-09,English,,,266.0
The Blue Lady of Coffin Hall,Carolyn Keene,JorjeanaMarie,232,2022-01-04,English,5.0,2.0,305.0
Danger at Dead Man's Pass,"M.G.Leonard,Sam Sedgman,Elisa Paganelli-illustrator",JotDavies,408,2021-09-16,English,,,323.0
Unlocked,Shannon Messenger,CaitlinKelly,962,2021-06-04,English,3.0,5.0,836.0
The Danger Gang,Tom Fletcher,"TomFelton,TomFletcher",252,2020-10-01,English,,,615.0
Mountain Mare,Terri Farley,NatalieBudig,235,2022-01-25,English,,,398.0
The Princess in Black and the Mermaid Princess,"Shannon Hale,Dean Hale",JuliaWhelan,20,2022-02-01,English,,,352.0
The Vanishing Statue,Carolyn Keene,JorjeanaMarie,245,2020-06-16,English,5.0,6.0,305.0
Eye of the Earthquake Dragon,Tracey West,EmilyEllet,45,2020-08-04,English,,,164.0
Peril at Granite Peak,Franklin W.Dixon,TimGregory,210,2016-01-21,English,5.0,3.0,305.0
Barbie - Aventura espacial,"Mattel,Marta Cisa Muñoz-traductor",MiriamMonlleo,12,2022-02-02,Catalan,,,76.0
The Disappearance of Emily Downs,C.J.Redwine,MiaSinclairJenness,296,2021-09-30,English,,,1003.0
The Solution,Katherine Applegate,EmilyEllet,174,2021-11-02,English,,,656.0
The Great Greenfield Bake-Off,Gertrude Chandler Warner,AimeeLilly,101,2021-09-01,English,,,234.0
Into Thin Air,Franklin W.Dixon,TimGregory,159,2016-01-21,English,5.0,10.0,305.0
Once upon a Thriller,Carolyn Keene,JorjeanaMarie,141,2015-09-24,English,5.0,12.0,305.0
The Magician's Nephew,C.S.Lewis,KennethBranagh,235,2005-08-29,English,5.0,7.0,303.0
Leonora Bolt: Secret Inventor,Lucy Brandt,NicoleDavis,175,2022-01-20,English,,,410.0
The Snail and the Whale,Julia Donaldson,ImeldaStaunton,23,2008-10-07,English,5.0,5.0,323.0
